iter	Passed	Remaining
0	48	9601
1	48	4815
2	49	3232
3	49	2441
4	50	1967
5	51	1652
6	51	1426
7	52	1253
8	52	1120
9	53	1015
10	54	929
11	54	850
12	54	790
13	55	738
14	56	693
15	56	653
16	57	616
17	57	584
18	58	554
19	58	524
20	58	501
21	59	479
22	59	459
23	60	441
24	60	423
25	60	407
26	61	391
27	61	376
28	61	361
29	61	350
30	62	339
31	62	329
32	63	319
33	63	310
34	63	301
35	64	293
36	64	285
37	65	278
38	65	271
39	66	265
40	66	258
41	66	251
42	67	246
43	67	240
44	68	235
45	68	230
46	69	226
47	70	222
48	71	219
49	71	214
50	72	210
51	72	207
52	72	202
53	73	198
54	74	195
55	74	192
56	75	188
57	75	185
58	75	181
59	76	178
60	76	175
61	77	171
62	77	168
63	78	165
64	78	163
65	79	160
66	79	158
67	80	155
68	80	153
69	81	151
70	81	148
71	82	146
72	83	144
73	83	142
74	84	140
75	84	138
76	85	135
77	85	133
78	86	131
79	86	129
80	86	127
81	87	125
82	87	123
83	88	121
84	88	119
85	89	118
86	89	116
87	90	114
88	91	113
89	91	112
90	92	110
91	92	108
92	93	107
93	93	105
94	94	104
95	94	102
96	95	101
97	96	100
98	96	98
99	97	97
100	97	95
101	98	94
102	98	93
103	99	91
104	99	90
105	100	89
106	101	87
107	101	86
108	102	85
109	102	84
110	103	82
111	103	81
112	104	80
113	105	79
114	105	78
115	106	77
116	107	75
117	107	74
118	108	73
119	108	72
120	109	71
121	109	70
122	110	69
123	111	68
124	111	66
125	112	65
126	112	64
127	113	63
128	113	62
129	114	61
130	115	60
131	115	59
132	116	58
133	116	57
134	117	56
135	117	55
136	118	54
137	118	53
138	119	52
139	120	51
140	120	50
141	121	49
142	121	48
143	122	47
144	122	46
145	123	45
146	123	44
147	124	43
148	124	42
149	125	41
150	125	40
151	126	39
152	126	38
153	127	38
154	127	37
155	128	36
156	129	35
157	129	34
158	130	33
159	130	32
160	131	31
161	132	30
162	132	30
163	133	29
164	133	28
165	134	27
166	134	26
167	135	25
168	136	24
169	136	24
170	137	23
171	137	22
172	138	21
173	138	20
174	139	19
175	139	19
176	140	18
177	141	17
178	141	16
179	142	15
180	142	14
181	143	14
182	143	13
183	144	12
184	144	11
185	145	10
186	146	10
187	146	9
188	147	8
189	147	7
190	148	6
191	148	6
192	149	5
193	150	4
194	150	3
195	151	3
196	151	2
197	152	1
198	152	0
199	153	0
